GeneID,D_melanogaster_Protein_ID,D_melanogaster_Gene_ID,accession,Gene_name
GB50151,#N/A,#N/A,NM_001040225.1," Apis mellifera odorant binding protein 9 (Obp9), mRNA"
GB50153,#N/A,#N/A,XM_006563427.1," PREDICTED: Apis mellifera chitin-binding lectin 1-like (LOC102653647), mRNA"
GB50154,FBpp0084834,FBgn0015129,NM_001011567.1," Apis mellifera dopamine receptor 2 (DopR2), mRNA"
GB50155,#N/A,#N/A,NM_001011567.1," Apis mellifera dopamine receptor 2 (DopR2), mRNA"
GB50156,FBpp0089401,FBgn0039225,XM_006563432.1," PREDICTED: Apis mellifera Ets at 96B ortholog (LOC726458), mRNA"
GB50157,FBpp0111579,FBgn0085433,XM_006563434.1," PREDICTED: Apis mellifera colorectal mutant cancer protein-like (LOC408528), transcript variant X2, mRNA"
GB50158,FBpp0084617,FBgn0003279,XM_392071.5," PREDICTED: Apis mellifera ribosomal protein L4 (RpL4), transcript variant 1, mRNA"
GB50159,#N/A,#N/A,XM_392070.5," PREDICTED: Apis mellifera nicotinic acetylcholine receptor alpha5 subunit (nAChRa5), transcript variant X1, mRNA"
GB50160,FBpp0084826,FBgn0039688,XM_006563441.1," PREDICTED: Apis mellifera disintegrin and metalloproteinase domain-containing protein 10-like (LOC410609), transcript variant X1, mRNA"
GB50161,#N/A,#N/A,XM_006563446.1," PREDICTED: Apis mellifera uncharacterized LOC726650 (LOC726650), transcript variant X2, mRNA"
GB50162,#N/A,#N/A,XM_006563445.1," PREDICTED: Apis mellifera uncharacterized LOC726650 (LOC726650), transcript variant X1, mRNA"
GB50163,#N/A,#N/A,XM_006563443.1," PREDICTED: Apis mellifera spermine oxidase-like (LOC102654565), mRNA"
GB50164,FBpp0082184,FBgn0003450,XM_001122420.3," PREDICTED: Apis mellifera serine protease 13 (SP13), mRNA"
GB50165,#N/A,#N/A,XM_006563447.1," PREDICTED: Apis mellifera probable palmitoyltransferase ZDHHC16-like (LOC412024), transcript variant X1, mRNA"
GB50166,#N/A,#N/A,XM_003250211.2," PREDICTED: Apis mellifera uncharacterized LOC100576273 (LOC100576273), mRNA"
GB50167,FBpp0074887,FBgn0036774,XM_001122452.3," PREDICTED: Apis mellifera mitochondrial ribosomal protein S26 (mRpS26), mRNA"
GB50168,#N/A,#N/A,XM_003250213.2," PREDICTED: Apis mellifera uncharacterized LOC100576411 (LOC100576411), mRNA"
GB50170,FBpp0296946,FBgn0262717,XM_006563468.1," PREDICTED: Apis mellifera DOMON domain-containing protein CG14681-like (LOC100577783), transcript variant X1, mRNA"
GB50171,#N/A,#N/A,XM_006563469.1," PREDICTED: Apis mellifera DOMON domain-containing protein CG14681-like (LOC100577783), transcript variant X2, mRNA"
GB50172,#N/A,#N/A,XM_006563473.1," PREDICTED: Apis mellifera putative ankyrin repeat protein L93-like (LOC726854), transcript variant X1, mRNA"
GB50173,FBpp0081663,FBgn0037792,XM_006563471.1," PREDICTED: Apis mellifera uncharacterized LOC552839 (LOC552839), mRNA"
GB50174,#N/A,#N/A,XM_006563481.1," PREDICTED: Apis mellifera protein phosphatase PP2A 55 kDa regulatory subunit (tws), transcript variant X8, mRNA"
GB50175,FBpp0081664,FBgn0004889,XM_006563481.1," PREDICTED: Apis mellifera protein phosphatase PP2A 55 kDa regulatory subunit (tws), transcript variant X8, mRNA"
GB50177,FBpp0089379,FBgn0039668,XM_392068.5," PREDICTED: Apis mellifera TRC8 protein (Trc8), mRNA"
GB50178,#N/A,#N/A,XM_006563482.1," PREDICTED: Apis mellifera uncharacterized protein C20orf26-like (LOC726905), mRNA"
GB50179,#N/A,#N/A,XM_001121061.3," PREDICTED: Apis mellifera homeodomain-only protein-like (LOC726978), mRNA"
GB50180,FBpp0081453,FBgn0037664,XM_625212.4," PREDICTED: Apis mellifera uncharacterized LOC552836 (LOC552836), transcript variant 2, mRNA"
GB50181,FBpp0083546,FBgn0038917,XM_394080.5," PREDICTED: Apis mellifera probable E3 ubiquitin-protein ligase HERC4-like (LOC410602), mRNA"
GB50183,FBpp0072839,FBgn0035370,XM_392065.5," PREDICTED: Apis mellifera upstream activation factor subunit spp27-like (LOC408520), mRNA"
GB50184,FBpp0290713,FBgn0051314,XM_006563493.1," PREDICTED: Apis mellifera disintegrin and metalloproteinase domain-containing protein 12-like (LOC410600), mRNA"
GB50185,#N/A,#N/A,XM_006563493.1," PREDICTED: Apis mellifera disintegrin and metalloproteinase domain-containing protein 12-like (LOC410600), mRNA"
GB50186,#N/A,#N/A,XM_006563492.1," PREDICTED: Apis mellifera uncharacterized LOC100577394 (LOC100577394), transcript variant X3, mRNA"
GB50187,#N/A,#N/A,XR_409701.1," PREDICTED: Apis mellifera uncharacterized LOC102653924 (LOC102653924), ncRNA"
GB50188,FBpp0079217,FBgn0032013,XM_006563496.1," PREDICTED: Apis mellifera sarcoglycan alpha (Scgalpha), mRNA"
GB50189,#N/A,#N/A,XM_006563496.1," PREDICTED: Apis mellifera sarcoglycan alpha (Scgalpha), mRNA"
GB50190,FBpp0083728,FBgn0039003,XM_625193.4," PREDICTED: Apis mellifera wolfram syndrome 1 (wfs1), transcript variant X3, mRNA"
GB50191,#N/A,#N/A,XM_001119915.3," PREDICTED: Apis mellifera uncharacterized LOC724160 (LOC724160), transcript variant X1, mRNA"
GB50192,FBpp0300511,FBgn0011582,XM_006563320.1," PREDICTED: Apis mellifera dopamine receptor, D1 (Dop1), transcript variant X1, mRNA"
GB50193,FBpp0073513,FBgn0015024,XM_393612.5," PREDICTED: Apis mellifera casein kinase 1, alpha 1 (Csnk1a1), mRNA"
GB50194,FBpp0086206,FBgn0026402,XM_003250229.2," PREDICTED: Apis mellifera nuclear inhibitor of protein phosphatase 1 (NiPp1), transcript variant X1, mRNA"
GB50195,FBpp0079228,FBgn0032026,XM_006563506.1," PREDICTED: Apis mellifera multidrug resistance-associated protein 4-like (LOC413959), mRNA"
GB50196,FBpp0082600,FBgn0019940,NM_001011639.2," Apis mellifera long wavelength sensitive opsin 1 (Lop1), mRNA"
GB50197,FBpp0078400,FBgn0014366,XM_397399.4," PREDICTED: Apis mellifera splicing factor 3a, subunit 3, 60kDa (SF3A3), transcript variant X2, mRNA"
GB50198,FBpp0080442,FBgn0261278,XM_006563509.1," PREDICTED: Apis mellifera serine/threonine-protein kinase grapes (grp), transcript variant X3, mRNA"
GB50200,#N/A,#N/A,XM_006563512.1," PREDICTED: Apis mellifera uncharacterized LOC102654925 (LOC102654925), mRNA"
GB50201,#N/A,#N/A,XM_006563516.1," PREDICTED: Apis mellifera poly(U)-binding-splicing factor half pint-like (LOC725115), transcript variant X4, mRNA"
GB50202,FBpp0072593,FBgn0028577,XM_006563518.1," PREDICTED: Apis mellifera poly(U)-binding-splicing factor half pint-like (LOC725115), transcript variant X6, mRNA"
GB50203,#N/A,#N/A,XM_006563521.1," PREDICTED: Apis mellifera sterile20-like kinase-like protein (LOC408519), transcript variant X3, mRNA"
GB50204,FBpp0072272,FBgn0035001,XM_006563524.1," PREDICTED: Apis mellifera sterile20-like kinase-like protein (LOC408519), transcript variant X6, mRNA"
GB50205,#N/A,#N/A,XR_412614.1," PREDICTED: Apis mellifera uncharacterized LOC100576650 (LOC100576650), ncRNA"
GB50206,#N/A,#N/A,XM_006563527.1," PREDICTED: Apis mellifera flavin-containing monooxygenase FMO GS-OX-like 2-like (LOC100578286), transcript variant X1, mRNA"
GB50207,FBpp0099401,FBgn0036542,XM_006563340.1," PREDICTED: Apis mellifera ligand-gated ion channel pHCl (pHCl), transcript variant X7, mRNA"
GB50208,FBpp0077775,FBgn0031224,XM_394069.5," PREDICTED: Apis mellifera putative RNA-binding protein 11-like (LOC410591), transcript variant 1, mRNA"
GB50209,FBpp0082737,FBgn0038424,XM_006563724.1," PREDICTED: Apis mellifera protein farnesyltransferase subunit beta-like (LOC102656263), mRNA"
GB50210,FBpp0082657,FBgn0038387,XM_006563532.1," PREDICTED: Apis mellifera mitochondrial import inner membrane translocase subunit Tim16-like (LOC102655673), mRNA"
GB50211,FBpp0089178,FBgn0037339,XM_006563537.1," PREDICTED: Apis mellifera phosphatidylinositol 4-kinase II beta (Pi4k2b), mRNA"
GB50213,FBpp0086872,FBgn0033816,XM_006563543.1," PREDICTED: Apis mellifera protein PTCD3 homolog, mitochondrial (LOC552702), mRNA"
GB50214,FBpp0082982,FBgn0038581,XM_006563542.1," PREDICTED: Apis mellifera uncharacterized LOC409502 (LOC409502), mRNA"
GB50215,#N/A,#N/A,XM_006563544.1," PREDICTED: Apis mellifera uncharacterized LOC725824 (LOC725824), transcript variant X1, mRNA"
GB50216,#N/A,#N/A,XM_006563544.1," PREDICTED: Apis mellifera uncharacterized LOC725824 (LOC725824), transcript variant X1, mRNA"
GB50217,#N/A,#N/A,XM_006563725.1," PREDICTED: Apis mellifera ornithine aminotransferase, mitochondrial (LOC410582), mRNA"
GB50218,FBpp0074729,FBgn0022774,XM_394061.4," PREDICTED: Apis mellifera ornithine aminotransferase, mitochondrial (Oat), mRNA"
GB50219,FBpp0071475,FBgn0003391,XM_006563550.1," PREDICTED: Apis mellifera DE-cadherin (LOC410585), transcript variant X4, mRNA"
GB50220,#N/A,#N/A,XM_006563546.1," PREDICTED: Apis mellifera uncharacterized LOC102656552 (LOC102656552), mRNA"
GB50221,FBpp0080047,FBgn0032513,XM_625007.4," PREDICTED: Apis mellifera START domain containing 7 (LOC552633), transcript variant X2, mRNA"
GB50222,FBpp0082641,FBgn0051183,XM_006563555.1," PREDICTED: Apis mellifera atrial natriuretic peptide receptor 1-like (LOC726069), transcript variant X2, mRNA"
GB50223,#N/A,#N/A,XM_006563555.1," PREDICTED: Apis mellifera atrial natriuretic peptide receptor 1-like (LOC726069), transcript variant X2, mRNA"
GB50224,FBpp0075784,FBgn0250876,XM_394067.4," PREDICTED: Apis mellifera semaphorin 5c (Sema-5c), transcript variant X3, mRNA"
GB50225,#N/A,#N/A,XM_006563563.1," PREDICTED: Apis mellifera uncharacterized LOC726250 (LOC726250), transcript variant X1, mRNA"
GB50226,FBpp0074331,FBgn0022355,NM_001011572.1," Apis mellifera transferrin 1 (Tsf1), mRNA"
GB50227,#N/A,#N/A,XM_006563560.1," PREDICTED: Apis mellifera uncharacterized LOC102653771 (LOC102653771), mRNA"
GB50228,FBpp0292542,FBgn0039048,XM_001122096.3," PREDICTED: Apis mellifera no mechanoreceptor potential A (nompA), transcript variant X1, mRNA"
GB50229,FBpp0288472,FBgn0033348,XM_003250238.2," PREDICTED: Apis mellifera uncharacterized LOC100576432 (LOC100576432), mRNA"
GB50230,FBpp0073086,FBgn0035521,XM_624784.4," PREDICTED: Apis mellifera v-type proton ATPase subunit e 2-like (LOC552410), mRNA"
GB50231,FBpp0071476,FBgn0034573,XM_394073.5," PREDICTED: Apis mellifera protein RMD5 homolog A-like (LOC410595), mRNA"
GB50232,FBpp0084967,FBgn0039738,XM_006563579.1," PREDICTED: Apis mellifera alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase (Mgat2), transcript variant X7, mRNA"
GB50233,#N/A,#N/A,XM_006563593.1," PREDICTED: Apis mellifera MATH and LRR domain-containing protein PFE0570w-like (LOC102655576), transcript variant X1, mRNA"
GB50234,#N/A,#N/A,XM_001122341.3," PREDICTED: Apis mellifera uncharacterized LOC726616 (LOC726616), mRNA"
GB50235,#N/A,#N/A,XM_001122341.3," PREDICTED: Apis mellifera uncharacterized LOC726616 (LOC726616), mRNA"
GB50236,#N/A,#N/A,NM_001270832.1," Apis mellifera cuticular protein CPF2 (CPF2), transcript variant 1, mRNA"
GB50237,FBpp0087756,FBgn0033354,XM_006563599.1," PREDICTED: Apis mellifera uncharacterized LOC726651 (LOC726651), transcript variant X1, mRNA"
GB50238,#N/A,#N/A,XM_396338.5," PREDICTED: Apis mellifera tubulin alpha chain, testis-specific-like (LOC412886), transcript variant X2, mRNA"
GB50239,FBpp0074843,FBgn0036824,XM_393211.5," PREDICTED: Apis mellifera short/branched chain specific acyl-CoA dehydrogenase, mitochondrial-like (LOC409712), mRNA"
GB50241,#N/A,#N/A,XM_003250246.2," PREDICTED: Apis mellifera uncharacterized LOC100577320 (LOC100577320), transcript variant X2, mRNA"
GB50242,FBpp0078024,FBgn0015283,XM_393112.5," PREDICTED: Apis mellifera proteasome 54kD subunit (Pros54), mRNA"
GB50243,#N/A,#N/A,XM_393113.5," PREDICTED: Apis mellifera rhotekin-like (LOC409610), mRNA"
GB50244,FBpp0110543,FBgn0250830,XM_006563607.1," PREDICTED: Apis mellifera NHL repeat containing 2 (Nhlrc2), transcript variant X3, mRNA"
GB50245,FBpp0298308,FBgn0263109,XM_006563610.1," PREDICTED: Apis mellifera uncharacterized LOC412791 (LOC412791), transcript variant X1, mRNA"
GB50246,FBpp0078162,FBgn0011771,XM_006563612.1," PREDICTED: Apis mellifera transmembrane protein HEM-2 (Hem-2), mRNA"
GB50247,#N/A,#N/A,XM_003250247.2," PREDICTED: Apis mellifera uncharacterized LOC100577551 (LOC100577551), transcript variant X1, mRNA"
GB50248,#N/A,#N/A,XM_006563619.1," PREDICTED: Apis mellifera uncharacterized LOC102653663 (LOC102653663), mRNA"
GB50249,#N/A,#N/A,XM_003250283.1," PREDICTED: Apis mellifera MYCBP-associated protein-like (LOC100576150), mRNA"
GB50250,FBpp0087310,FBgn0033542,XM_001122615.3," PREDICTED: Apis mellifera carbonic anhydrase III (Ca3), mRNA"
GB50251,FBpp0290229,FBgn0083984,XM_006563630.1," PREDICTED: Apis mellifera uncharacterized LOC100577912 (LOC100577912), mRNA"
GB50252,FBpp0083604,FBgn0038947,XM_006563640.1," PREDICTED: Apis mellifera uncharacterized LOC409613 (LOC409613), transcript variant X4, mRNA"
GB50253,FBpp0081794,FBgn0051373,XM_006563644.1," PREDICTED: Apis mellifera peptide deformylase, mitochondrial-like (LOC102654737), mRNA"
GB50255,FBpp0083959,FBgn0039163,XM_393179.5," PREDICTED: Apis mellifera RWD domain-containing protein 1-like (LOC409681), transcript variant X2, mRNA"
GB50256,#N/A,#N/A,XR_409737.1," PREDICTED: Apis mellifera uncharacterized LOC102655522 (LOC102655522), transcript variant X2, ncRNA"
GB50257,FBpp0073400,FBgn0002577,XM_392051.3," PREDICTED: Apis mellifera miniature (m), transcript variant X2, mRNA"
GB50258,#N/A,#N/A,XR_409747.1," PREDICTED: Apis mellifera uncharacterized LOC100578457 (LOC100578457), transcript variant X2, ncRNA"
GB50259,FBpp0300445,FBgn0028734,XM_006563662.1," PREDICTED: Apis mellifera fragile X mental retardation syndrome-related protein 1 (Fmr1), transcript variant X3, mRNA"
GB50260,#N/A,#N/A,XM_003250257.2," PREDICTED: Apis mellifera fragile X mental retardation syndrome-related protein 1 (Fmr1), transcript variant X1, mRNA"
GB50261,#N/A,#N/A,XM_006563729.1," PREDICTED: Apis mellifera ring finger protein 19 (Rnf19), mRNA"
GB50262,#N/A,#N/A,XM_394056.5," PREDICTED: Apis mellifera neurotransmitter transporter 8 (NT-8), transcript variant X3, mRNA"
GB50263,#N/A,#N/A,XM_006569133.1," PREDICTED: Apis mellifera histone-lysine N-methyltransferase SETMAR-like (LOC726098), mRNA"
GB50264,#N/A,#N/A,XM_006563668.1," PREDICTED: Apis mellifera glutathione S-transferase 1-1-like (LOC102656423), mRNA"
GB50265,FBpp0082077,FBgn0001149,XM_006563331.1," PREDICTED: Apis mellifera glutathione S-transferase D1 (GstD1), transcript variant X4, mRNA"
GB50268,FBpp0082645,FBgn0017567,XM_623477.4," PREDICTED: Apis mellifera NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (Ndufs8), transcript variant 2, mRNA"
GB50269,FBpp0080097,FBgn0032524,XM_003250259.2," PREDICTED: Apis mellifera 3-hydroxyacyl-CoA dehydratase 3-like (LOC413078), transcript variant X1, mRNA"
GB50270,FBpp0081591,FBgn0037710,XM_624288.4," PREDICTED: Apis mellifera metaxin-1 homolog (LOC551902), transcript variant X1, mRNA"
GB50271,FBpp0072918,FBgn0035432,XM_006563730.1," PREDICTED: Apis mellifera zinc transporter 1-like (LOC552634), mRNA"
GB50272,FBpp0077468,FBgn0031418,XM_006563679.1," PREDICTED: Apis mellifera trans-1,2-dihydrobenzene-1,2-diol dehydrogenase-like (LOC412231), transcript variant X5, mRNA"
GB50273,#N/A,#N/A,XR_409752.1," PREDICTED: Apis mellifera uncharacterized LOC102653747 (LOC102653747), ncRNA"
GB50274,FBpp0111818,FBgn0261014,XM_006563682.1," PREDICTED: Apis mellifera transitional endoplasmic reticulum ATPase TER94 (TER94), mRNA"
GB50275,FBpp0070979,FBgn0029935,XM_395667.4," PREDICTED: Apis mellifera monocyte to macrophage differentiation factor 2-like (LOC412205), transcript variant X2, mRNA"
GB50276,FBpp0081378,FBgn0024326,XM_006563685.1," PREDICTED: Apis mellifera MAP kinase kinase 4 (Mkk4), mRNA"
GB50277,#N/A,#N/A,XM_003250262.2," PREDICTED: Apis mellifera forkhead box protein J1-like (LOC100576194), mRNA"
GB50278,FBpp0084028,FBgn0039204,XM_001120215.3," PREDICTED: Apis mellifera KLRAQ motif-containing protein 1-like (LOC724380), mRNA"
GB50279,#N/A,#N/A,XM_001120329.3," PREDICTED: Apis mellifera iron-sulfur cluster assembly 2 homolog, mitochondrial-like (LOC724467), mRNA"
GB50280,FBpp0084059,FBgn0039205,XM_001120329.3," PREDICTED: Apis mellifera iron-sulfur cluster assembly 2 homolog, mitochondrial-like (LOC724467), mRNA"
GB50281,FBpp0087461,FBgn0033454,XM_001120493.3," PREDICTED: Apis mellifera transducin (beta)-like 3 (TBL3), transcript variant X1, mRNA"
GB50282,FBpp0074983,FBgn0036727,XM_396282.5," PREDICTED: Apis mellifera cys-loop ligand-gated ion channel (Amel_6927), transcript variant X9, mRNA"
GB50283,#N/A,#N/A,XM_006563731.1," PREDICTED: Apis mellifera uncharacterized LOC551908 (LOC551908), mRNA"
GB50284,FBpp0073359,FBgn0030311,XM_624613.4," PREDICTED: Apis mellifera UPF0463 transmembrane protein C6orf35 homolog (LOC552237), mRNA"
GB50286,FBpp0088168,FBgn0051992,XM_006563732.1," PREDICTED: Apis mellifera uncharacterized LOC411646 (LOC411646), partial mRNA"
GB50287,FBpp0076549,FBgn0035762,XM_624687.4," PREDICTED: Apis mellifera RINT1-like protein (LOC552312), transcript variant X2, mRNA"
GB50288,#N/A,#N/A,XM_003250266.2," PREDICTED: Apis mellifera uncharacterized LOC100577001 (LOC100577001), transcript variant X1, mRNA"
GB50289,FBpp0076872,FBgn0010747,XM_624494.4," PREDICTED: Apis mellifera signal recognition particle 54 kDa protein-like (LOC552114), mRNA"
GB50290,#N/A,#N/A,XM_006563716.1," PREDICTED: Apis mellifera serine protease homolog 55 (SPH55), transcript variant X2, mRNA"
GB50291,FBpp0289830,FBgn0263197,XM_001123227.3," PREDICTED: Apis mellifera short spindle protein 4-like (LOC727519), mRNA"
GB50292,#N/A,#N/A,XM_006565577.1," PREDICTED: Apis mellifera neprilysin-2-like (LOC724228), mRNA"
GB50293,#N/A,#N/A,XM_006565583.1," PREDICTED: Apis mellifera uncharacterized LOC102656649 (LOC102656649), mRNA"
GB50294,#N/A,#N/A,XM_006565581.1," PREDICTED: Apis mellifera uncharacterized LOC100576196 (LOC100576196), transcript variant X3, mRNA"
GB50295,#N/A,#N/A,XM_006565579.1," PREDICTED: Apis mellifera uncharacterized LOC100576196 (LOC100576196), transcript variant X1, mRNA"
GB50296,FBpp0081845,FBgn0086472,XM_006565582.1," PREDICTED: Apis mellifera ribosomal protein S25 (RpS25), partial mRNA"
GB50297,FBpp0083054,FBgn0038630,XM_006565573.1," PREDICTED: Apis mellifera testis-specific serine/threonine-protein kinase 1-like (LOC411093), transcript variant X2, mRNA"
GB50298,FBpp0081385,FBgn0037610,XM_006565570.1," PREDICTED: Apis mellifera putative transferase C1orf69, mitochondrial-like (LOC724700), mRNA"
GB50299,FBpp0087973,FBgn0033225,XM_394564.4," PREDICTED: Apis mellifera tubulin--tyrosine ligase-like protein 12-like (LOC411090), mRNA"
GB50301,#N/A,#N/A,XM_006565568.1," PREDICTED: Apis mellifera uncharacterized LOC100576129 (LOC100576129), transcript variant X2, mRNA"
GB50302,FBpp0080510,FBgn0032620,XM_003250634.2," PREDICTED: Apis mellifera uncharacterized LOC411091 (LOC411091), mRNA"
GB50303,FBpp0073065,FBgn0035498,XM_392367.5," PREDICTED: Apis mellifera unc-112-related protein-like (LOC408836), transcript variant 1, mRNA"
GB50304,#N/A,#N/A,XM_003250636.2," PREDICTED: Apis mellifera zinc transporter 7-like (LOC411095), mRNA"
GB50305,FBpp0081847,FBgn0037875,XM_003250636.2," PREDICTED: Apis mellifera zinc transporter 7-like (LOC411095), mRNA"
GB50309,#N/A,#N/A,XR_412597.1," PREDICTED: Apis mellifera uncharacterized LOC100578521 (LOC100578521), ncRNA"
GB50310,FBpp0293144,FBgn0036017,XM_006572449.1," PREDICTED: Apis mellifera transmembrane channel-like protein 3-like (LOC413251), mRNA"
GB50312,#N/A,#N/A,XM_396813.5," PREDICTED: Apis mellifera uncharacterized LOC413368 (LOC413368), transcript variant X4, mRNA"
GB50313,#N/A,#N/A,XM_006572443.1," PREDICTED: Apis mellifera carbohydrate sulfotransferase 8-like (LOC727202), partial mRNA"
GB50314,#N/A,#N/A,XM_006572557.1," PREDICTED: Apis mellifera serine protease 27 (SP27), mRNA"
GB50318,#N/A,#N/A,XM_001123240.2," PREDICTED: Apis mellifera putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15-like (LOC727531), partial mRNA"
GB50319,#N/A,#N/A,XM_006572428.1," PREDICTED: Apis mellifera uncharacterized LOC102655850 (LOC102655850), mRNA"
GB50320,#N/A,#N/A,XM_001123310.2," PREDICTED: Apis mellifera uncharacterized LOC727603 (LOC727603), mRNA"
GB50321,#N/A,#N/A,XM_001123086.1," PREDICTED: Apis mellifera lipid A export ATP-binding/permease protein MsbA-like (LOC727377), mRNA"
GB50322,#N/A,#N/A,XM_396197.5," PREDICTED: Apis mellifera WD repeat domain phosphoinositide-interacting protein 4-like (LOC412744), transcript variant X1, mRNA"
GB50323,FBpp0079294,FBgn0032052,XM_001120842.3," PREDICTED: Apis mellifera phosphatidylinositol glycan anchor biosynthesis class U protein-like (LOC724943), partial mRNA"
GB50324,#N/A,#N/A,XM_001120888.3," PREDICTED: Apis mellifera uncharacterized LOC724988 (LOC724988), mRNA"
GB50326,#N/A,#N/A,XM_006572565.1," PREDICTED: Apis mellifera uncharacterized LOC102655344 (LOC102655344), mRNA"
GB50327,#N/A,#N/A,XM_001122066.3," PREDICTED: Apis mellifera uncharacterized LOC726319 (LOC726319), mRNA"
GB50331,#N/A,#N/A,XM_001120807.1," PREDICTED: Apis mellifera probable mitochondrial import inner membrane translocase subunit Tim17 1-like (LOC724906), mRNA"
GB50332,FBpp0290550,FBgn0039932,XM_006559883.1," PREDICTED: Apis mellifera uncharacterized LOC410761 (LOC410761), mRNA"
GB50333,FBpp0071087,FBgn0261592,XM_001120419.3," PREDICTED: Apis mellifera 40S ribosomal protein S6-like (LOC725647), mRNA"
GB50334,#N/A,#N/A,XM_006559891.1," PREDICTED: Apis mellifera translation factor GUF1 homolog, mitochondrial-like (LOC102655778), mRNA"
GB50335,FBpp0290997,FBgn0260008,XM_001122063.3," PREDICTED: Apis mellifera cytochrome b-c1 complex subunit 6, mitochondrial-like (LOC726316), mRNA"
GB50336,#N/A,#N/A,XM_003249530.2," PREDICTED: Apis mellifera uncharacterized LOC100578472 (LOC100578472), mRNA"
GB50337,FBpp0076143,FBgn0036031,XM_006559860.1," PREDICTED: Apis mellifera uncharacterized protein KIAA1841-like (LOC412000), mRNA"
GB50338,FBpp0290722,FBgn0033988,XM_006559855.1," PREDICTED: Apis mellifera SH3 domain-binding protein 5 homolog (LOC552162), mRNA"
GB50339,#N/A,#N/A,XM_006559856.1," PREDICTED: Apis mellifera uncharacterized LOC100578309 (LOC100578309), transcript variant X2, mRNA"
GB50340,#N/A,#N/A,XM_001120210.3," PREDICTED: Apis mellifera Sno oncogene (Snoo), mRNA"
GB50341,#N/A,#N/A,XM_006559889.1," PREDICTED: Apis mellifera proton-coupled amino acid transporter 2-like (LOC102655654), mRNA"
GB50342,FBpp0099810,FBgn0005558,XM_006559854.1," PREDICTED: Apis mellifera Paired box gene 6 (LOC724238), mRNA"
GB50343,FBpp0076478,FBgn0035831,XM_001123127.3," PREDICTED: Apis mellifera ribonuclease P protein subunit p29-like (LOC727419), mRNA"
GB50344,FBpp0086063,FBgn0034243,XM_003249533.2," PREDICTED: Apis mellifera nucleostemin 2 (ns2), mRNA"
GB50345,FBpp0301190,FBgn0030087,XM_006559843.1," PREDICTED: Apis mellifera glycogen phosphorylase (LOC550706), transcript variant X2, mRNA"
GB50346,FBpp0070336,FBgn0023512,XM_006559888.1," PREDICTED: Apis mellifera translation initiation factor eIF-2B subunit epsilon-like (LOC102655618), mRNA"
GB50347,FBpp0078330,FBgn0037329,XM_006559839.1," PREDICTED: Apis mellifera polymerase delta-interacting protein 2-like (LOC551574), mRNA"
GB50348,FBpp0111875,FBgn0030038,XM_006559838.1," PREDICTED: Apis mellifera bleomycin hydrolase-like (LOC724901), transcript variant X2, mRNA"
GB50350,FBpp0071188,FBgn0030039,XM_001121467.3," PREDICTED: Apis mellifera uncharacterized protein F58A4.6-like (LOC725638), mRNA"
GB50352,FBpp0290197,FBgn0052495,XM_006559840.1," PREDICTED: Apis mellifera glutathione synthetase-like (LOC412610), transcript variant X1, mRNA"
GB50353,#N/A,#N/A,XM_006559887.1," PREDICTED: Apis mellifera rabphilin (Rph), mRNA"
GB50354,FBpp0071431,FBgn0030230,XM_006559887.1," PREDICTED: Apis mellifera rabphilin (Rph), mRNA"
GB50355,FBpp0078635,FBgn0031660,XM_395930.5," PREDICTED: Apis mellifera mitochondrial ribosomal protein L28 (mRpL28), mRNA"
GB50356,FBpp0086252,FBgn0003274,XM_001120364.3," PREDICTED: Apis mellifera ribosomal protein P2 (RpLP2), mRNA"
GB50357,FBpp0073966,FBgn0000319,XM_623108.4," PREDICTED: Apis mellifera clathrin heavy chain-like (LOC550716), transcript variant 1, mRNA"
GB50359,FBpp0288449,FBgn0083962,XM_006559848.1," PREDICTED: Apis mellifera UHRF1-binding protein 1-like (LOC408624), transcript variant X4, mRNA"
GB50360,#N/A,#N/A,XM_006559851.1," PREDICTED: Apis mellifera uncharacterized LOC551279 (LOC551279), mRNA"
GB50361,#N/A,#N/A,XM_006559851.1," PREDICTED: Apis mellifera uncharacterized LOC551279 (LOC551279), mRNA"
GB50362,#N/A,#N/A,XM_006559854.1," PREDICTED: Apis mellifera Paired box gene 6 (LOC724238), mRNA"
GB50363,#N/A,#N/A,XM_006559852.1," PREDICTED: Apis mellifera uncharacterized LOC100576540 (LOC100576540), transcript variant X1, mRNA"
GB50364,FBpp0080638,FBgn0086707,XM_006559890.1," PREDICTED: Apis mellifera pre-mRNA-splicing factor CWC22 homolog (LOC724331), partial mRNA"
GB50365,FBpp0111629,FBgn0085450,XM_001120210.3," PREDICTED: Apis mellifera Sno oncogene (Snoo), mRNA"
GB50366,FBpp0086020,FBgn0034264,XM_006559859.1," PREDICTED: Apis mellifera uncharacterized LOC551450 (LOC551450), transcript variant X2, mRNA"
GB50368,#N/A,#N/A,XM_001122042.3," PREDICTED: Apis mellifera ankyrin repeat and FYVE domain-containing protein 1-like (LOC726291), transcript variant X1, mRNA"
GB50369,FBpp0112713,FBgn0039955,XM_006559862.1," PREDICTED: Apis mellifera ankyrin repeat and FYVE domain-containing protein 1-like (LOC726291), transcript variant X3, mRNA"
